,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU),pseudo-voigt component 2 (AU),pseudo-voigt component 3 (AU)
163,2813.677,0.14258271881478154,5.970125062095574e-14,0.0011353984103884796,7.357952376694299e-05,0.012973896790247757
164,2815.6059999999998,0.14363211314423407,6.08700167340001e-14,0.0011647825421130487,9.690135388218485e-05,0.01382394156806637
165,2817.534,0.14466047330978835,6.20727546848682e-14,0.0011953017213197422,0.0001268683976012851,0.014645080592161781
166,2819.4629999999997,0.14565923400352865,6.331208897094024e-14,0.0012270482646892346,0.000165176855947094,0.015426807631075824
167,2821.3909999999996,0.14661814461694367,6.458817954678989e-14,0.001260053902583057,0.0002137953491490494,0.01615702392286976
168,2823.32,0.1475297085480837,6.59038693135093e-14,0.0012944219202179058,0.0002751799975779139,0.016825520705938086
169,2825.248,0.14838555036000528,6.725938994958475e-14,0.0013301903928370652,0.00035212054806657664,0.017421247266177376
170,2827.177,0.14918049953822118,6.865782705220146e-14,0.001367475285533776,0.00044805656653995797,0.017935324454988764
171,2829.105,0.1499093591519274,7.009949666930861e-14,0.0014063222725780972,0.0005668038633160554,0.018358846750443573
172,2831.034,0.15057047015942987,7.158775475598674e-14,0.001446862039918672,0.0007130125062847367,0.018685220904093185
173,2832.962,0.1511629320047146,7.312301659637004e-14,0.0014891493916953978,0.0008917077704390846,0.01890861952359762
174,2834.8909999999996,0.15168953355244363,7.470894009425845e-14,0.001533332180970728,0.0011089443823991672,0.0190254750903986
175,2836.8190000000004,0.15215441971879062,7.634605728411098e-14,0.0015794762186673755,0.001371073122797499,0.01903366952206306
176,2838.748,0.152565349413683,7.803836420630447e-14,0.0016277494723431773,0.0016856627890130425,0.01893307080862107
177,2840.676,0.15293173730331838,7.978653032446244e-14,0.001678231071793798,0.0020603784581998286,0.01872550335321085
178,2842.605,0.15326629128300595,8.159493140092492e-14,0.0017311126698005936,0.0025042630831590665,0.018414285938372466
179,2844.533,0.15358329065712353,8.346439880204325e-14,0.0017864895774748694,0.0030260890257614442,0.01800498449113566
180,2846.462,0.15389975587181287,8.539973595808497e-14,0.0018445814838107387,0.0036361142417324086,0.017503986952705424
181,2848.39,0.15423376106799275,8.74019651766044e-14,0.001905503443881183,0.004343748954608392,0.016919996833572343
182,2850.3190000000004,0.1546053851755007,8.947637302580428e-14,0.001969508517022937,0.005159925186996508,0.016261752767575546
183,2852.2470000000003,0.15503480615824736,9.162420730302929e-14,0.0020367359614375602,0.006093910213481161,0.01554018118737394
184,2854.176,0.1555433626038272,9.385130212010424e-14,0.00210747878833197,0.007156449433413777,0.014765426701303075
185,2856.1040000000003,0.15615114733539576,9.615917198760719e-14,0.0021819060737945867,0.008355562684355018,0.013949548574563927
186,2858.033,0.15687856067797276,9.85542736228375e-14,0.0022603589567177372,0.009700634149211119,0.013103065886221
187,2859.961,0.1577431197005695,1.0103843758928946e-13,0.0023430434459332464,0.011197051329435628,0.012238057905664212
188,2861.89,0.1587618988751709,1.0361883103453423e-13,0.0024303590372166794,0.012851415399686521,0.011364442154019872
189,2863.8179999999998,0.15994730289623568,1.0629765982267543e-13,0.002522557748920821,0.01466492861791187,0.010493325115890299
190,2865.7470000000003,0.16131076104737674,1.0908290471176641e-13,0.002620110329110142,0.01663987709726981,0.009633222576158541
191,2867.675,0.16285727755025703,1.1197721825999428e-13,0.002723326468709259,0.01877174104461955,0.00879350528174149
192,2869.6040000000003,0.16459067008038425,1.1498951657807327e-13,0.002832764555117322,0.021057052684336577,0.007980743300966727
193,2871.532,0.16650680864911652,1.18122985266113e-13,0.0029488070527842595,0.02348429204355355,0.0072021009340558695
194,2873.461,0.168600568392761,1.2138762007904497e-13,0.0030721209894801573,0.026043141468048852,0.0064619465896460435
195,2875.389,0.1708577881317377,1.2478724450436483e-13,0.0032031813145857405,0.028714331330493052,0.005765070904776693
196,2877.3179999999998,0.17326394998345315,1.2833310576849533e-13,0.0033427908525227802,0.031480199303939554,0.00511365778572232
197,2879.2459999999996,0.1757950199997669,1.3202979308387073e-13,0.0034915429897559172,0.03431375602343427,0.004510226760545925
198,2881.175,0.1784276850206291,1.3589001078372973e-13,0.0036504117974095487,0.03719031812326361,0.003955015889772596
199,2883.103,0.18112936566398508,1.3991927036876278e-13,0.003820143581992033,0.04007616237849733,0.0034485805673475905
200,2885.032,0.18386965214209516,1.4413198066121966e-13,0.004001930404571404,0.04294084933731362,0.0029895999610901206
201,2886.96,0.18660988937802342,1.4853476809779863e-13,0.004196717756709804,0.045745914401270356,0.002577096319208243
202,2888.889,0.18931528040810966,1.531440452323093e-13,0.004405977980000388,0.04845735266488182,0.0022086464447337298
203,2890.817,0.19194452122705039,1.579677916737935e-13,0.004630918464976137,0.051034846782571315,0.0018822148671808717
204,2892.7459999999996,0.1944619069004967,1.6302478778241052e-13,0.004873375775116464,0.05344376609505069,0.0015947315879760115
205,2894.6740000000004,0.19682753014194665,1.6832466252194639e-13,0.005134905137161221,0.05564544686361066,0.0013435567746967044
